tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,0,N/A,0,0,0,0,0,0,0,0,0
1008,2020-03-01,1,69.0,0,0,0,0,1,0,0,0,0
1152,2020-03-02,2,72.5,0,0,0,0,1,1,0,0,0
1296,2020-03-03,2,72.5,0,0,0,0,1,1,0,0,0
1440,2020-03-04,3,62.6667,0,0,0,0,0,1,0,2,0
1584,2020-03-05,3,62.6667,0,0,0,0,0,1,0,2,0
1728,2020-03-06,3,62.6667,0,0,0,0,0,1,0,2,0
1872,2020-03-07,4,50.75,0,0,0,0,0,1,0,3,0
2016,2020-03-08,4,50.75,0,0,0,0,0,1,0,3,0
2160,2020-03-09,4,50.75,0,0,0,0,0,1,0,3,0
2304,2020-03-10,5,45.4,0,0,0,0,0,1,0,4,0
2448,2020-03-11,6,51.0,0,0,0,0,1,1,0,4,0
2592,2020-03-12,7,52.5714,0,0,0,0,1,2,0,4,0
2736,2020-03-13,8,51.5,0,0,0,0,1,2,0,5,0
2880,2020-03-14,10,50.3,0,0,0,0,2,1,0,7,0
3024,2020-03-15,9,48.2222,0,0,0,0,0,2,1,6,0
3168,2020-03-16,8,44.75,0,0,0,0,0,2,1,5,0
3312,2020-03-17,10,43.8,0,0,0,0,0,2,1,7,0
3456,2020-03-18,12,43.25,0,0,0,0,0,2,1,9,0
3600,2020-03-19,12,43.25,0,0,0,0,0,2,1,9,0
3744,2020-03-20,14,43.9286,0,0,0,0,0,2,1,11,0
3888,2020-03-21,15,46.3333,0,0,0,0,1,2,1,11,0
4032,2020-03-22,16,47.625,0,0,0,0,1,1,1,13,0
