tick,iso8601,House,Work,School,Restaurant,Outdoor,Car,Public Transport,Shop,Medical,Place of Worship,Indoor Sport,Cinema or Theatre,Museum or Zoo,Visit
0,02/23/2020T00:00:00 ,189643,481,0,4244,1979,2892,0,0,0,0,0,95,133,3243
1,02/23/2020T00:10:00 ,191061,481,0,4308,2056,1472,100,0,0,0,0,95,133,3004
2,02/23/2020T00:20:00 ,191692,481,0,4152,2042,1108,100,0,0,0,0,95,133,2907
3,02/23/2020T00:30:00 ,192373,481,0,4070,1659,786,191,0,0,0,0,95,133,2922
4,02/23/2020T00:40:00 ,192688,424,0,3745,1668,844,191,0,0,0,0,95,133,2922
5,02/23/2020T00:50:00 ,193209,424,0,3316,1510,794,433,0,0,0,0,95,133,2796
6,02/23/2020T01:00:00 ,194483,276,0,2858,938,1276,228,0,0,0,0,95,0,2556
7,02/23/2020T01:10:00 ,194568,320,0,2858,860,1318,228,0,0,0,0,95,0,2463
8,02/23/2020T01:20:00 ,195021,276,0,2652,938,1132,228,0,0,0,0,0,0,2463
9,02/23/2020T01:30:00 ,195351,276,0,2486,800,1106,228,0,0,0,0,0,0,2463
10,02/23/2020T01:40:00 ,195857,276,0,2486,800,727,228,0,0,0,0,0,0,2336
11,02/23/2020T01:50:00 ,196064,276,0,2486,800,615,133,0,0,0,0,0,0,2336
12,02/23/2020T02:00:00 ,196597,276,0,1811,877,245,619,0,0,0,0,0,0,2285
13,02/23/2020T02:10:00 ,196677,276,0,1692,950,97,619,114,0,0,0,0,0,2285
14,02/23/2020T02:20:00 ,196701,276,0,1692,950,175,517,114,0,0,0,0,0,2285
15,02/23/2020T02:30:00 ,196902,276,0,1468,573,681,460,114,0,0,0,0,0,2236
16,02/23/2020T02:40:00 ,196948,276,0,1468,527,795,460,0,0,0,0,0,0,2236
17,02/23/2020T02:50:00 ,196778,276,0,1391,527,1105,460,0,0,0,0,0,0,2173
18,02/23/2020T03:00:00 ,197390,354,0,1122,427,1114,76,0,0,0,0,0,0,2227
19,02/23/2020T03:10:00 ,197782,354,0,972,358,1071,0,0,0,0,0,0,0,2173
20,02/23/2020T03:20:00 ,197919,354,0,1000,0,997,267,0,0,0,0,0,0,2173
21,02/23/2020T03:30:00 ,198078,354,0,941,0,897,332,0,0,0,0,0,0,2108
22,02/23/2020T03:40:00 ,198300,354,0,894,0,616,379,0,0,0,0,0,0,2167
23,02/23/2020T03:50:00 ,198752,354,0,866,0,175,332,0,0,0,0,0,0,2231
24,02/23/2020T04:00:00 ,195567,506,0,799,63,66,42,0,0,0,0,0,0,5667
25,02/23/2020T04:10:00 ,195611,506,0,799,63,64,0,0,0,0,0,0,0,5667
26,02/23/2020T04:20:00 ,195536,506,0,799,105,184,0,0,0,0,0,0,0,5580
27,02/23/2020T04:30:00 ,195366,506,0,799,105,289,44,21,0,0,0,0,0,5580
28,02/23/2020T04:40:00 ,195196,506,0,799,156,408,65,0,0,0,0,0,0,5580
29,02/23/2020T04:50:00 ,194889,603,0,741,301,531,65,0,0,0,0,0,0,5580
30,02/23/2020T05:00:00 ,194588,752,0,741,196,759,143,0,0,0,0,0,0,5531
31,02/23/2020T05:10:00 ,194533,878,0,460,196,857,255,0,0,0,0,0,0,5531
32,02/23/2020T05:20:00 ,194332,932,0,460,275,904,255,21,0,0,0,0,0,5531
33,02/23/2020T05:30:00 ,193913,1037,0,297,275,1389,247,21,0,0,0,0,0,5531
34,02/23/2020T05:40:00 ,193785,1307,0,208,277,1446,135,21,0,0,0,0,0,5531
35,02/23/2020T05:50:00 ,193549,1479,0,157,339,1543,186,21,0,0,0,0,0,5436
36,02/23/2020T06:00:00 ,193447,2322,0,60,168,744,326,21,0,0,0,0,0,5622
37,02/23/2020T06:10:00 ,192982,2322,0,52,125,1212,395,0,0,0,0,0,0,5622
38,02/23/2020T06:20:00 ,192773,2525,0,52,232,1102,352,52,0,0,0,0,0,5622
39,02/23/2020T06:30:00 ,192456,2826,0,0,503,706,507,0,0,0,0,0,0,5712
40,02/23/2020T06:40:00 ,192042,2959,0,0,667,852,568,0,0,0,0,0,0,5622
41,02/23/2020T06:50:00 ,191758,3354,0,0,588,904,484,0,0,0,0,0,0,5622
42,02/23/2020T07:00:00 ,190358,4171,0,0,866,1364,329,0,0,0,0,0,0,5622
