tick,iso8601,House,Work,School,Restaurant,Outdoor,Car,Public Transport,Shop,Medical,Place of Worship,Indoor Sport,Cinema or Theatre,Museum or Zoo,Visit
0,02/23/2020T00:00:00 ,189474,458,0,4453,2007,2805,0,0,0,0,0,126,118,3269
1,02/23/2020T00:10:00 ,190936,458,0,4513,2028,1375,102,0,0,0,0,126,118,3054
2,02/23/2020T00:20:00 ,191556,458,0,4346,1989,1044,102,0,0,0,0,126,118,2971
3,02/23/2020T00:30:00 ,192187,458,0,4207,1648,778,212,0,0,0,0,126,118,2976
4,02/23/2020T00:40:00 ,192525,396,0,3893,1645,819,212,0,0,0,0,126,118,2976
5,02/23/2020T00:50:00 ,192982,396,0,3431,1554,831,443,0,0,0,0,126,118,2829
6,02/23/2020T01:00:00 ,194276,275,0,2929,953,1303,233,0,0,0,0,126,0,2615
7,02/23/2020T01:10:00 ,194411,322,0,2929,874,1327,233,0,0,0,0,126,0,2488
8,02/23/2020T01:20:00 ,194880,275,0,2707,968,1159,233,0,0,0,0,0,0,2488
9,02/23/2020T01:30:00 ,195236,275,0,2526,822,1130,233,0,0,0,0,0,0,2488
10,02/23/2020T01:40:00 ,195765,275,0,2526,822,736,233,0,0,0,0,0,0,2353
11,02/23/2020T01:50:00 ,196020,275,0,2526,822,596,118,0,0,0,0,0,0,2353
12,02/23/2020T02:00:00 ,196537,275,0,1907,912,242,543,0,0,0,0,0,0,2294
13,02/23/2020T02:10:00 ,196605,275,0,1764,1000,114,543,115,0,0,0,0,0,2294
14,02/23/2020T02:20:00 ,196627,275,0,1764,1000,166,469,115,0,0,0,0,0,2294
15,02/23/2020T02:30:00 ,196864,275,0,1538,575,661,430,115,0,0,0,0,0,2252
16,02/23/2020T02:40:00 ,196919,275,0,1538,520,776,430,0,0,0,0,0,0,2252
17,02/23/2020T02:50:00 ,196783,275,0,1457,520,1064,430,0,0,0,0,0,0,2181
18,02/23/2020T03:00:00 ,197348,327,0,1149,396,1192,79,0,0,0,0,0,0,2219
19,02/23/2020T03:10:00 ,197714,327,0,996,311,1181,0,0,0,0,0,0,0,2181
20,02/23/2020T03:20:00 ,197861,327,0,1027,0,1082,232,0,0,0,0,0,0,2181
21,02/23/2020T03:30:00 ,198042,327,0,991,0,937,290,0,0,0,0,0,0,2123
22,02/23/2020T03:40:00 ,198301,327,0,918,0,642,363,0,0,0,0,0,0,2159
23,02/23/2020T03:50:00 ,198785,327,0,878,0,174,290,0,0,0,0,0,0,2256
24,02/23/2020T04:00:00 ,195580,462,0,814,55,77,44,0,0,0,0,0,0,5678
25,02/23/2020T04:10:00 ,195629,462,0,814,55,72,0,0,0,0,0,0,0,5678
26,02/23/2020T04:20:00 ,195551,462,0,814,102,194,0,0,0,0,0,0,0,5587
27,02/23/2020T04:30:00 ,195393,462,0,814,102,288,35,29,0,0,0,0,0,5587
28,02/23/2020T04:40:00 ,195244,462,0,814,136,403,64,0,0,0,0,0,0,5587
29,02/23/2020T04:50:00 ,194922,565,0,753,301,518,64,0,0,0,0,0,0,5587
30,02/23/2020T05:00:00 ,194638,725,0,753,181,748,121,0,0,0,0,0,0,5544
31,02/23/2020T05:10:00 ,194571,852,0,508,181,828,226,0,0,0,0,0,0,5544
32,02/23/2020T05:20:00 ,194395,905,0,508,243,860,226,29,0,0,0,0,0,5544
33,02/23/2020T05:30:00 ,193942,994,0,336,239,1385,241,29,0,0,0,0,0,5544
34,02/23/2020T05:40:00 ,193837,1252,0,250,247,1415,136,29,0,0,0,0,0,5544
35,02/23/2020T05:50:00 ,193536,1412,0,187,317,1594,199,29,0,0,0,0,0,5436
36,02/23/2020T06:00:00 ,193407,2296,0,80,162,779,333,29,0,0,0,0,0,5624
37,02/23/2020T06:10:00 ,192914,2296,0,60,121,1270,425,0,0,0,0,0,0,5624
38,02/23/2020T06:20:00 ,192697,2481,0,60,255,1153,382,58,0,0,0,0,0,5624
39,02/23/2020T06:30:00 ,192366,2859,0,0,510,728,554,0,0,0,0,0,0,5693
40,02/23/2020T06:40:00 ,191957,2997,0,0,630,878,624,0,0,0,0,0,0,5624
41,02/23/2020T06:50:00 ,191669,3422,0,0,580,904,511,0,0,0,0,0,0,5624
42,02/23/2020T07:00:00 ,190316,4154,0,0,827,1450,339,0,0,0,0,0,0,5624
43,02/23/2020T07:10:00 ,189992,4334,0,0,837,1520,403,0,0,0,0,0,0,5624
