tick,iso8601,House,Work,School,Restaurant,Outdoor,Car,Public Transport,Shop,Medical,Place of Worship,Indoor Sport,Cinema or Theatre,Museum or Zoo,Visit
0,02/23/2020T00:00:00 ,189429,506,0,4323,2091,2847,0,0,0,0,0,128,110,3276
1,02/23/2020T00:10:00 ,190817,506,0,4397,2127,1446,94,0,0,0,0,128,110,3085
2,02/23/2020T00:20:00 ,191480,506,0,4253,2064,1075,94,0,0,0,0,128,110,3000
3,02/23/2020T00:30:00 ,192116,506,0,4156,1740,769,199,0,0,0,0,128,110,2986
4,02/23/2020T00:40:00 ,192454,435,0,3830,1720,848,199,0,0,0,0,128,110,2986
5,02/23/2020T00:50:00 ,192952,435,0,3395,1538,839,469,0,0,0,0,128,110,2844
6,02/23/2020T01:00:00 ,194295,276,0,2917,951,1312,218,0,0,0,0,128,0,2613
7,02/23/2020T01:10:00 ,194406,316,0,2917,867,1369,218,0,0,0,0,128,0,2489
8,02/23/2020T01:20:00 ,194874,276,0,2698,965,1190,218,0,0,0,0,0,0,2489
9,02/23/2020T01:30:00 ,195246,276,0,2528,816,1137,218,0,0,0,0,0,0,2489
10,02/23/2020T01:40:00 ,195789,276,0,2528,816,757,218,0,0,0,0,0,0,2326
11,02/23/2020T01:50:00 ,196016,276,0,2528,816,638,110,0,0,0,0,0,0,2326
12,02/23/2020T02:00:00 ,196588,276,0,1840,907,263,567,0,0,0,0,0,0,2269
13,02/23/2020T02:10:00 ,196680,276,0,1708,985,111,567,114,0,0,0,0,0,2269
14,02/23/2020T02:20:00 ,196717,276,0,1708,985,175,466,114,0,0,0,0,0,2269
15,02/23/2020T02:30:00 ,196943,276,0,1496,585,629,439,114,0,0,0,0,0,2228
16,02/23/2020T02:40:00 ,196997,276,0,1496,531,743,439,0,0,0,0,0,0,2228
17,02/23/2020T02:50:00 ,196832,276,0,1419,531,1039,439,0,0,0,0,0,0,2174
18,02/23/2020T03:00:00 ,197389,340,0,1138,401,1130,83,0,0,0,0,0,0,2229
19,02/23/2020T03:10:00 ,197747,340,0,968,372,1109,0,0,0,0,0,0,0,2174
20,02/23/2020T03:20:00 ,197896,340,0,1017,0,1019,264,0,0,0,0,0,0,2174
21,02/23/2020T03:30:00 ,198062,340,0,978,0,892,317,0,0,0,0,0,0,2121
22,02/23/2020T03:40:00 ,198280,340,0,917,0,635,378,0,0,0,0,0,0,2160
23,02/23/2020T03:50:00 ,198741,340,0,891,0,170,317,0,0,0,0,0,0,2251
24,02/23/2020T04:00:00 ,195438,456,0,842,68,84,48,0,0,0,0,0,0,5774
25,02/23/2020T04:10:00 ,195511,456,0,842,68,59,0,0,0,0,0,0,0,5774
26,02/23/2020T04:20:00 ,195438,456,0,842,110,187,0,0,0,0,0,0,0,5677
27,02/23/2020T04:30:00 ,195280,456,0,842,110,288,31,26,0,0,0,0,0,5677
28,02/23/2020T04:40:00 ,195109,456,0,842,159,410,57,0,0,0,0,0,0,5677
29,02/23/2020T04:50:00 ,194807,546,0,769,319,535,57,0,0,0,0,0,0,5677
30,02/23/2020T05:00:00 ,194522,697,0,769,195,751,136,0,0,0,0,0,0,5640
31,02/23/2020T05:10:00 ,194466,819,0,489,195,852,249,0,0,0,0,0,0,5640
32,02/23/2020T05:20:00 ,194281,874,0,489,264,887,249,26,0,0,0,0,0,5640
33,02/23/2020T05:30:00 ,193856,961,0,324,256,1389,258,26,0,0,0,0,0,5640
34,02/23/2020T05:40:00 ,193760,1206,0,245,263,1425,145,26,0,0,0,0,0,5640
35,02/23/2020T05:50:00 ,193537,1382,0,181,301,1530,209,26,0,0,0,0,0,5544
36,02/23/2020T06:00:00 ,193368,2239,0,67,170,754,336,26,0,0,0,0,0,5750
37,02/23/2020T06:10:00 ,192941,2239,0,51,141,1171,417,0,0,0,0,0,0,5750
38,02/23/2020T06:20:00 ,192740,2434,0,51,267,1033,384,51,0,0,0,0,0,5750
39,02/23/2020T06:30:00 ,192417,2769,0,0,484,655,562,0,0,0,0,0,0,5823
40,02/23/2020T06:40:00 ,192023,2891,0,0,616,800,630,0,0,0,0,0,0,5750
